nr_registro;marca_comercial;formulacao;ingrediente_ativo;titular_de_registro;classe;modo_de_acao;classe_toxicologica;classe_ambiental;organicos;situacao
38318;Epimec;EC - Concentrado Emulsionável;Abamectina (avermectina) (18 g/L);Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;Acaricida/Inseticida/Nematicida;Contato/ Ingestão;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
7698;Epingle 100;EC - Concentrado Emulsionável;piriproxifem (éter piridiloxipropílico) (100 g/L);Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE;Inseticida;De contato e translaminar.;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;OUTROS;True
6219;"Epingle EW; Cordial EW;";EW - Emulsão Óleo em Água;piriproxifem (éter piridiloxipropílico) (100 g/L);Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE;Inseticida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
23122;Epizotil;SL - Concentrado Solúvel;Metarhizium rileyi, Cepa CCT7771 (Produto Microbiológico) (7 g/L);Agrobiológica Soluções Naturais Ltda - Leme/SP;Inseticida Microbiológico;Não informado;Não Classificado - Produto Não Classificado;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
26424;Epoxiconazole 125 SC Yonon;SC - Suspensão Concentrada;epoxiconazol (triazol) (125 g/L);Yonon Brasil Defensivos Agricolas Ltda;Fungicida;Sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
25024;Epoxiconazole Nortox;SC - Suspensão Concentrada;epoxiconazol (triazol) (125 g/L);Nortox S.A. - Arapongas;Fungicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
36825;Epoxiconazole Yonon;SC - Suspensão Concentrada;epoxiconazol (triazol) (125 g/L);Yonon Biociências e Defensivos Agrícolas Ltda.;Fungicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
1499;Equation;WG - Grânulos Dispersíveis em Água;cimoxanil (acetamida) (300 g/kg) + famoxadona (oxazolidinadiona) (225 g/kg);CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Fungicida;Sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;OUTROS;True
21722;Equinox;EC - Concentrado Emulsionável;S-metolacloro (cloroacetanilida) (480 g/L) + sulfentrazona (triazolona) (128 g/L);Albaugh Agro Brasil Ltda.- São Paulo;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
11401;Equip Plus;WG - Grânulos Dispersíveis em Água;foramsulfurom (sulfoniluréia) (300 g/kg) + Iodossulfurom-Metílico-Sódico (sulfoniluréia) (20 g/kg);Bayer S.A. - São Paulo/ SP;Herbicida;Seletivo condicional, de ação sistêmica;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;OUTROS;True
